Group,Participant,Object,Number,Agency,Num_Predicates
homesign,1,book,single,agent,multiple
homesign,1,book,single,agent,multiple
homesign,1,book,plural,no_agent,multiple
homesign,1,coin,single,agent,single
homesign,1,coin,plural,no_agent,single
homesign,1,coin,single,no_agent,single
homesign,1,coin,single,no_agent,multiple
homesign,1,lollipop,single,agent,single
homesign,1,lollipop,single,agent,single
homesign,1,lollipop,plural,no_agent,single
homesign,1,lollipop,plural,no_agent,single
homesign,1,lollipop,single,no_agent,multiple
homesign,1,marble,single,agent,single
homesign,1,marble,single,agent,single
homesign,1,marble,single,no_agent,multiple
homesign,1,pen,plural,agent,single
homesign,1,pen,single,no_agent,single
homesign,1,pen,single,no_agent,multiple
homesign,1,plane,plural,agent,single
homesign,1,plane,plural,no_agent,single
homesign,1,plane,plural,no_agent,single
homesign,1,plane,single,no_agent,single
homesign,1,tv,plural,agent,multiple
homesign,1,tv,single,agent,single
homesign,1,tv,single,agent,multiple
homesign,1,tv,plural,no_agent,multiple
homesign,1,tv,single,no_agent,single
homesign,1,tv,single,no_agent,single
homesign,1,tweezer,plural,agent,multiple
homesign,1,tweezer,single,agent,single
homesign,1,tweezer,single,agent,multiple
homesign,1,tweezer,plural,no_agent,multiple
homesign,1,tweezer,plural,no_agent,multiple
homesign,1,tweezer,single,no_agent,single
homesign,1,tweezer,single,no_agent,single
homesign,2,book,single,agent,single
homesign,2,book,plural,no_agent,multiple
homesign,2,book,single,no_agent,single
homesign,2,coin,plural,agent,single
homesign,2,coin,plural,agent,single
homesign,2,coin,single,agent,single
homesign,2,coin,single,agent,single
homesign,2,coin,single,no_agent,single
homesign,2,coin,single,no_agent,single
homesign,2,lollipop,plural,agent,single
homesign,2,lollipop,single,agent,single
homesign,2,lollipop,plural,no_agent,single
homesign,2,lollipop,single,no_agent,single
homesign,2,lollipop,single,no_agent,single
homesign,2,marble,single,agent,single
homesign,2,marble,single,agent,single
homesign,2,marble,plural,no_agent,single
homesign,2,marble,plural,no_agent,single
homesign,2,pen,plural,agent,single
homesign,2,pen,single,agent,single
homesign,2,pen,single,agent,single
homesign,2,pen,single,no_agent,single
homesign,2,plane,plural,no_agent,multiple
homesign,2,tv,plural,agent,multiple
homesign,2,tv,plural,no_agent,single
homesign,2,tv,plural,no_agent,single
homesign,2,tweezer,plural,agent,multiple
homesign,2,tweezer,plural,agent,multiple
homesign,2,tweezer,single,agent,single
