speaker,word,phone,prev,post,voicing,start,end,VOT
S06,d j e l a,d,<p:>,j,voiced,16.21030080790265,16.23068522912745,0.02038442122479722
S06,b a s_a k a l_d d y,b,<p:>,a,voiced,20.991381157006913,21.049000000000003,-0.05761884299309017
S06,b i h a m u n j a n,b,<p:>,i,voiced,23.973473560954087,24.031,-0.05752643904591181
S06,d e m o a,d,<p:>,e,voiced,35.41423935816876,35.4952158503937,-0.08097649222494141
S06,b e,b,<p:>,e,voiced,38.75951083814137,38.812261238790754,-0.05275040064938707
S06,b a,b,<p:>,a,voiced,50.88789252252278,50.928612130041614,-0.04071960751883097
S06,b a,p,<p:>,a,voiced,56.78107485285432,56.828735302563864,0.04766044970953942
S06,d e n a k,d,<p:>,e,voiced,60.6330829640641,60.71868668441619,-0.08560372035208985
S06,d a L j a,d,<p:>,a,voiced,62.369,62.408555400684165,-0.03955540068416496
S06,d a L j a i k i J,d,<p:>,a,voiced,72.90044519627536,72.93700029847976,-0.03655510220440305
S06,d e n a k,d,<p:>,e,voiced,83.41699999999999,83.428,-0.01100000000000989
S06,b a t y s_a a e k i J,b,<p:>,a,voiced,103.39959006643625,103.40905543454402,0.00946536810776876
S06,g o j s_m,g,<p:>,o,voiced,115.15912509815504,115.191,-0.03187490184494379
S06,g a L o a,g,<p:>,a,voiced,117.18032202375308,117.2599103475399,-0.07958832378680825
S06,b e th i,b,<p:>,e,voiced,179.7535107282156,179.78852815455306,-0.0350174263374754
S06,g j o,g,<p:>,j,voiced,187.257766160434,187.26226589144173,0.00449973100774059
S06,b i s_m j e n,b,<p:>,i,voiced,210.90526169051037,210.978070200717,-0.07280851020664159
S06,b e h a r,b,<p:>,e,voiced,219.9313070809842,219.9968347401702,-0.0655276591859888
S06,b a l e r u s_a a,b,<p:>,a,voiced,225.80722987719497,225.84710120421283,-0.03987132701789164
S06,d e n e k,d,<p:>,e,voiced,238.54163636183813,238.6411413257872,-0.09950496394907304
S06,g o j s_m e t a n,g,<p:>,o,voiced,248.2973419336591,248.3278521665076,-0.03051023284848497
S06,b e rr i s_m,b,NA,e,voiced,261.33657658438636,261.37714132578725,-0.04056474140088539
S06,d e m o a,d,<p:>,e,voiced,262.4856598668946,262.5029952264676,-0.01733535957299636
S06,d o n a p l y t i k,d,<p:>,a,voiced,265.96999999999997,265.9816155911908,-0.01161559119083222
S06,b i,b,NA,i,voiced,266.86179157923624,266.89022156893594,-0.02842998969970267
