sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,census_point,1891_total,1891_gaelic,1891_g_pct,1891_mono,1891_mono_pct,lat,lon,gender,yob,orig_lon,orig_lat,fem_gender,aggregate,label_for_conservatism
Port of Ness,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,NA,0,0,1,1,0,1,NA,0,0,0,0,0,0,0,0,Lewis,Port of Ness,Port of Ness,195,188,96,161,0.86,58.485015,-6.2394745,f,1922,-6.2394745,58.485015,TRUE,29,NA
Upper Shader,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Lewis,Upper Shader,Upper Shader,207,181,87,93,0.51,58.395686,-6.4856591,m,1913,-6.4856591,58.395686,FALSE,22,NA
Bragar,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,Lewis,Bragar,Bragar,652,381,99,264,0.69,58.327547,-6.6308872,m,1898,-6.6308872,58.327547,FALSE,44,Bragar
Carloway,4,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Lewis,Carloway,Carloway,321,306,95,242,0.79,58.277151,-6.7779689,f,1892,-6.7779689,58.277151,TRUE,27,NA
Brenish,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Lewis,Brenish,Brenish,304,282,93,74,0.26,58.106276,-7.0987544,m,1910,-7.0987544,58.106276,FALSE,38,NA
North Tolsta,6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,1,0,1,1,0,0,1,1,0,1,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Lewis,North Tolsta,North Tolsta,597,559,94,431,0.77,58.341708,-6.2222637,m,1897,-6.2222637,58.341708,FALSE,24,NA
Lower Pabail,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,0,1,1,NA,0,1,0,0,1,0,0,0,1,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Lewis,Lower Pabail,Lower Pabail,481,446,93,254,0.57,58.19727,-6.2391481,m,1897,-6.2391481,58.19727,FALSE,29,NA
Leurbost,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Lewis,Leurbost,Leurbost,608,584,96,459,0.79,58.143078,-6.4657222,m,1929,-6.4657222,58.143078,FALSE,25,NA
Gravir,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,Lewis,Gravir,Gravir,389,368,95,284,0.77,58.054495,-6.4424945,m,1896,-6.4424945,58.054495,FALSE,41,NA
Scarp,10,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,0,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,NA,0,1,1,0,1,NA,1,0,1,1,0,NA,NA,NA,0,0,0,0,Harris,Scarp,Scarp,143,132,92,52,0.39,58.03024,-7.1355612,f,1904,-7.1355612,58.03024,TRUE,31,NA
Ardhasaig,11,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,0,1,NA,1,1,1,0,1,1,NA,NA,NA,1,0,1,1,NA,NA,NA,0,NA,0,0,NA,Harris,Ardhasaig,Tarbert,449,426,95,150,0.35,57.92617,-6.8333624,m,1895,-6.8333624,57.92617,FALSE,31,NA
Grosebay,12,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,0,NA,1,0,0,0,0,1,0,1,NA,0,0,1,1,1,NA,1,0,1,1,0,0,NA,NA,1,0,0,0,Harris,Grosebay,Scadabay,315,301,96,168,0.56,57.840502,-6.7838697,f,1890,-6.7838697,57.840502,TRUE,32,NA
Leverburgh,13,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,0,0,0,0,1,0,1,NA,0,0,1,1,1,NA,1,0,1,1,0,0,NA,NA,1,0,0,0,Harris,Leverburgh,Leverburgh,515,485,94,145,0.3,57.763186,-6.9996067,m,1876,-6.9996067,57.763186,FALSE,30,NA
St Kilda 1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,St Kilda,St Kilda 1,St Kilda 1,71,71,100,56,0.79,57.77252641848676,-8.572205459521705,m,1897,-8.5731489,57.811965,FALSE,36,NA
St Kilda 2,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,St Kilda,St Kilda 2,St Kilda 2,71,71,100,56,0.79,57.82593519363484,-8.596985997092652,m,1886,-8.5724993,57.811828,FALSE,34,NA
St Kilda 3,16,1,1,1,1,NA,1,1,1,1,1,1,NA,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,1,1,0,0,NA,0,NA,0,0,0,0,0,0,St Kilda,St Kilda 3,St Kilda 3,71,71,100,56,0.79,57.85679825503435,-8.57513583317425,m,1906,-8.57247,57.811667,FALSE,18,NA
Malaclett,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,North Uist,Malaclett,Vallay,34,33,97,25,0.76,57.653084,-7.3638748,m,1885,-7.3638748,57.653084,FALSE,49,NA
Middlequarter,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,North Uist,Middlequarter,Sollas & Dunskeller,292,282,97,173,0.61,57.653326,-7.365153,m,1881,-7.365153,57.653326,FALSE,37,NA
Sollas,19,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,NA,0,0,0,0,0,0,North Uist,Sollas,Sollas & Dunskeller,292,282,97,173,0.61,57.653629,-7.3637374,m,1881,-7.3637374,57.653629,FALSE,41,NA
Knockline,20,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,NA,0,1,1,1,0,1,NA,0,NA,0,0,0,0,0,0,North Uist,Knockline,Paible and Ceannbhaigh,290,271,93,226,0.83,57.584627,-7.4404794,m,1893,-7.4404794,57.584627,FALSE,33,NA
Baleshare,21,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,NA,0,0,1,0,0,0,1,1,0,1,0,1,NA,0,0,0,0,0,0,North Uist,Baleshare,Baleshare,324,288,89,112,0.39,57.524175,-7.3812633,f,1905,-7.3812633,57.524175,TRUE,34,NA
Hacleit,22,1,1,1,NA,NA,NA,NA,1,NA,1,NA,0,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,NA,0,0,0,1,1,1,1,0,1,0,1,1,0,NA,0,0,0,0,Benbecula,Hacleit,Hacleit,231,219,95,108,0.49,57.412839,-7.3196678,m,1892,-7.3196678,57.412839,FALSE,28,NA
West Gerinish,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,South Uist,West Gerinish,Gerinish & Stilligary,119,117,98,67,0.57,57.382123,-7.4067502,f,1899,-7.4067502,57.382123,TRUE,47,NA
Bornish,24,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,NA,1,1,1,1,0,1,NA,1,0,0,NA,0,0,0,0,South Uist,Bornish,Killdonan,111,107,96,70,0.65,57.279604,-7.410428,m,1880,-7.410428,57.279604,FALSE,40,NA
South Lochboisdale,25,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,NA,0,1,1,1,0,1,NA,0,NA,0,1,0,1,0,0,South Uist,South Lochboisdale,South Lochboisdale,176,163,93,153,0.94,57.144486,-7.305958,m,1890,-7.305958,57.144486,FALSE,40,NA
Baile,26,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,1,1,0,1,NA,1,0,0,0,0,1,0,0,Eriskay,Baile,Eriskay,454,424,93,194,0.46,57.087204,-7.2907767,m,1895,-7.2907767,57.087204,FALSE,41,NA
Eoligarry,27,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,0,1,1,1,0,0,0,NA,0,NA,NA,1,0,1,0,NA,NA,1,0,1,1,0,0,NA,NA,0,0,0,0,Barra,Eoligarry,Eoligarry,261,241,92,167,0.69,56.991102,-7.4065305,m,1883,-7.4065305,56.991102,FALSE,28,NA
Castlebay 1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Barra,Castlebay 1,Castlebay 1,82,63,77,6,0.1,56.957569,-7.4899858,m,1887,-7.4899858,56.957569,FALSE,50,Castlebay 1
Castlebay 2,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,Barra,Castlebay 2,Castlebay 2,82,63,77,6,0.1,56.95786,-7.4921703,m,1882,-7.4921703,56.95786,FALSE,47,NA
Castlebay 3,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,Barra,Castlebay 3 [recte Glen],Castlebay 3 [recte Glen],322,285,89,66,0.23,56.958197,-7.4916599,f,1886,-7.4916599,56.958197,TRUE,46,NA
Shannochie,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Arran,Shannochie,Kilmory & Shiskine,1904,1133,60,17,0.02,55.440676,-5.2107543,m,1863,-5.2107543,55.440676,FALSE,25,NA
Kilpatrick,32,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Arran,Kilpatrick,Kilmory & Shiskine,1904,1133,60,17,0.02,55.491547,-5.3257439,m,1871,-5.3257439,55.491547,FALSE,14,NA
