id,place_etym,context,prev_sound,sound_etym,next_sound,letter,category,freqGO,freqLUB,loan,page,frequency,manner,lexeme,form,spelling,frequency_class
1,laminal,#_,&,z,u,s,grammatical,73.3,243.9,no,2,0.450266390204953,fricative,zu,#S#u,InnSpell,high
2,laminal,#_,&,z,u,s,grammatical,73.3,243.9,no,2,0.450266390204953,fricative,zu,#S#ugandiq,InnSpell,high
3,laminal,#_,&,z,u,s,grammatical,73.3,243.9,no,2,0.450266390204953,fricative,zu,#S#ugana,InnSpell,high
4,laminal,#_,&,z,u,s,grammatical,73.3,243.9,no,2,0.450266390204953,fricative,zu,#S#ugattiq,InnSpell,high
5,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,4,0.555709486614679,fricative,zer,#S#er,InnSpell,high
6,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,4,0.555709486614679,fricative,zer,#S#er,InnSpell,high
8,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,5,0.555709486614679,fricative,zer,#S#er,InnSpell,high
9,laminal,#_,&,z,i,c,content,0.01,0.71,yes,5,-1.76938002380436,fricative,ziento,#C#ientoettan,ConSpell,low
10,laminal,#_,&,z,e,s,grammatical,4.22,24.82,no,5,-0.261719322911536,fricative,zein,#S#enequin,InnSpell,mid
11,laminal,#_,&,z,e,c,grammatical,111.87,49.63,no,5,0.555709486614679,fricative,zer,#C#er,ConSpell,high
12,laminal,#_,&,z,e,c,grammatical,111.87,49.63,no,5,0.555709486614679,fricative,zer,#C#er,ConSpell,high
13,laminal,#_,&,z,e,c,grammatical,111.87,49.63,no,5,0.555709486614679,fricative,zer,#C#er,ConSpell,high
14,laminal,#_,&,z,e,c,grammatical,111.87,49.63,no,5,0.555709486614679,fricative,zer,#C#er,ConSpell,high
15,laminal,#_,&,z,e,c,grammatical,4.22,24.82,no,6,-0.261719322911536,fricative,zein,#C#ein,ConSpell,mid
16,laminal,#_,&,z,e,c,grammatical,111.87,49.63,no,6,0.555709486614679,fricative,zer,#C#er,ConSpell,high
18,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,7,0.555709486614679,fricative,zer,#S#er,InnSpell,high
20,apical,#_,&,s,a,s,content,31.49,12.76,no,8,0.23954559700983,fricative,sartu,#S#arrerazo,ConSpell,high
21,apical,#_,&,s,o,s,content,0.56,4.96,no,9,-0.765433089745847,fricative,soñeko,#S#oñeco,ConSpell,mid
23,laminal,#_,&,z,e,c,grammatical,111.87,49.63,no,9,0.555709486614679,fricative,zer,#C#er,ConSpell,high
24,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,9,0.555709486614679,fricative,zer,#S#er,InnSpell,high
26,apical,#_,&,s,i,s,content,0.01,2.84,yes,10,-1.76938002380436,fricative,silla,#S#illa,ConSpell,low
27,apical,#_,&,s,u,s,content,0.01,4.25,yes,11,-1.76938002380436,fricative,suplikatu,#S#uplicacen,ConSpell,low
30,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,11,0.555709486614679,fricative,zer,#S#er,InnSpell,high
31,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,13,0.555709486614679,fricative,zer,#S#er,InnSpell,high
32,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,14,0.555709486614679,fricative,zer,#S#er,InnSpell,high
33,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,14,0.555709486614679,fricative,zer,#S#er,InnSpell,high
35,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,16,0.555709486614679,fricative,zer,#S#er,InnSpell,high
36,laminal,#_,&,z,e,c,grammatical,111.87,49.63,no,16,0.555709486614679,fricative,zer,#C#er,ConSpell,high
37,apical,#_,&,s,i,s,content,2.05,3.55,no,17,-0.441789304012397,fricative,sinistu,#S#inisten,ConSpell,mid
39,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,17,0.555709486614679,fricative,zer,#S#er,InnSpell,high
40,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,17,0.555709486614679,fricative,zer,#S#er,InnSpell,high
