subject,trial,Condition,Age,pupil_max
1,1,Sparse,YA,384.580000000001
1,2,Sparse,YA,148.919999999999
1,3,Dense,YA,459.6
1,4,Sparse,YA,379.3
1,5,Sparse,YA,90.8600000000008
1,6,Sparse,YA,101.34
1,7,Dense,YA,312.759999999999
1,8,Sparse,YA,67.719999999999
1,9,Dense,YA,506.5
1,10,Dense,YA,315.040000000001
1,11,Dense,YA,12.8999999999995
1,12,Dense,YA,65.7400000000007
1,13,Dense,YA,90.54
1,14,Sparse,YA,203.18
1,15,Dense,YA,573.12
1,16,Dense,YA,341.560000000001
1,17,Sparse,YA,581.540000000001
1,18,Dense,YA,677.599999999999
1,19,Sparse,YA,485.16
1,20,Dense,YA,478.959999999999
1,21,Sparse,YA,459.159999999999
1,22,Sparse,YA,206.12
1,23,Sparse,YA,77.7000000000002
1,24,Dense,YA,279.08
1,25,Dense,YA,856.500000000001
1,26,Sparse,YA,543.379999999999
1,27,Dense,YA,206.439999999999
1,28,Sparse,YA,285.299999999999
1,29,Sparse,YA,19.5999999999995
1,30,Sparse,YA,170.199999999999
1,31,Sparse,YA,89.1200000000003
1,32,Sparse,YA,386.96
1,33,Sparse,YA,926.48
1,34,Dense,YA,66.1199999999986
1,35,Dense,YA,272.6
1,36,Dense,YA,728.3
1,37,Dense,YA,356.480000000001
1,38,Dense,YA,104.540000000001
1,39,Dense,YA,97.6999999999998
1,40,Sparse,YA,45.9599999999997
1,41,Sparse,YA,544.68
1,42,Dense,YA,462.32
1,43,Dense,YA,304.079999999999
1,44,Dense,YA,51.3199999999999
1,45,Sparse,YA,1233.16
1,46,Dense,YA,153.119999999999
1,47,Sparse,YA,68.6199999999994
1,48,Sparse,YA,25.4199999999995
1,49,Dense,YA,56.4199999999997
1,50,Dense,YA,1828.88
1,51,Sparse,YA,143.060000000001
1,52,Sparse,YA,889.58
1,53,Dense,YA,51.4
1,54,Dense,YA,6.07999999999938
1,55,Dense,YA,132.559999999999
1,56,Sparse,YA,116.16
1,57,Sparse,YA,114.34
1,58,Sparse,YA,255.970987124464
1,59,Sparse,YA,40.7199999999999
1,60,Dense,YA,435.559999999999
1,61,Sparse,YA,30.14
1,62,Dense,YA,14.56
1,63,Sparse,YA,34.24
1,64,Sparse,YA,34.7800000000007
1,65,Dense,YA,212.399999999999
1,66,Sparse,YA,171
1,67,Sparse,YA,991.54
1,68,Sparse,YA,834.300000000001
1,69,Dense,YA,398.959999999999
1,70,Dense,YA,89.3200000000001
1,71,Sparse,YA,34.619999999999
1,72,Dense,YA,94.7399999999996
1,73,Dense,YA,276.580000000001
1,74,Dense,YA,20.0000000000004
1,75,Dense,YA,56.5400000000009
1,76,Dense,YA,94.4599999999991
1,77,Sparse,YA,538.100000000001
1,78,Dense,YA,324.5
