word_string,word_type,word_gender,word_represents_animate,word_num_letters,word_frequency,concreteness_n,concreteness_mean,concreteness_median,concreteness_stddev,concreteness_min,concreteness_max,subjective_frequency_n,subjective_frequency_mean,subjective_frequency_median,subjective_frequency_stddev,subjective_frequency_min,subjective_frequency_max,imageability_n,imageability_mean,imageability_median,imageability_stddev,imageability_min,imageability_max,age_of_acquisition_n,age_of_acquisition_mean,age_of_acquisition_median,age_of_acquisition_stddev,age_of_acquisition_min,age_of_acquisition_max,rt_milliseconds_mean,rt_milliseconds_median,rt_milliseconds_stddev,rt_milliseconds_min,rt_milliseconds_max,rt_milliseconds_n
ribnjak,Nc,m,inanimate,7,5755,31,4.77419354839,5,0.749609679911,1,5,31,2.51612903226,3,0.875139352661,1,4,30,4.86666666667,5,0.426874949162,3,5,29,6.10344827586,5,2.02305381295,3,11,575.2857142857143,538.5,127.74732792094231,396,1054,42
dostupnost,Nc,f,inanimate,10,15564,31,2.45161290323,3,1.18699158019,1,5,31,3.35483870968,3,1.06402725822,1,5,30,3,3,1.43759057686,1,5,29,9.48275862069,9,3.28655242964,6,17,624.0238095238095,577.5,185.1721003184688,395,1214,42
deformacija,Nc,f,inanimate,11,6016,31,4.03225806452,4,1.06206952472,2,5,31,2.90322580645,3,1.22750307035,1,5,30,4.3,5,1.1,1,5,29,9.62068965517,10,2.99900895244,3,16,705.7857142857143,643.5,301.8067978120687,402,1924,42
antioksidans,Nc,m,inanimate,12,7646,31,3.1935483871,3,1.4462265659,1,5,31,2.1935483871,2,1.14777076611,1,5,29,2.55172413793,3,1.30215224748,1,5,29,13.4482758621,13,2.23739699276,9,19,913.7777777777778,791,338.4836025664304,490,1869,36
zapis,Nc,m,inanimate,5,44327,31,4.77419354839,5,0.489217770584,3,5,31,3.8064516129,4,0.964510734692,2,5,30,4.36666666667,5,0.91226214556,2,5,29,7.89655172414,7,2.61751168474,3,15,622.9512195121952,560,251.56857427146105,333,1675,41
kvadrat,Nc,m,inanimate,7,36394,31,4.54838709677,5,0.910111998688,1,5,31,3.48387096774,4,1.18786791223,1,5,30,4.86666666667,5,0.561743318212,2,5,28,6.96428571429,7,2.55625483384,2,15,549.1428571428571,528,128.7505759264545,376,973,42
presedan,Nc,m,inanimate,8,7786,31,2.45161290323,2,1.07279284828,1,5,31,2,2,0.983738753676,1,4,30,2.16666666667,2,1.36829171678,1,5,27,13.7777777778,13,3.57287448685,5,20,986.6129032258065,779,505.87848853384776,504,2585,31
zapremnina,Nc,f,inanimate,10,1434,30,3.4,3.5,1.30639452948,1,5,31,2.12903225806,2,0.832483090359,1,4,29,2.68965517241,3,1.46460417804,1,5,28,12.6785714286,13,2.9405243875,6,20,1034.6764705882354,799,646.0682823743912,508,3692,34
prerada,Nc,f,inanimate,7,18759,31,3.64516129032,4,1.00155965782,2,5,31,2.8064516129,3,0.895124962936,1,5,30,3.46666666667,4,1.33499895963,1,5,29,9.58620689655,10,2.63291160949,5,18,750.1951219512196,598,416.48884856093053,406,2745,41
general,Nc,m,animate,7,96640,31,4.41935483871,5,0.942686399755,1,5,31,2.29032258065,2,0.810955167095,1,4,30,4.9,5,0.3,4,5,29,8.65517241379,9,2.39648970399,4,14,624.8095238095239,559,250.75293817749326,393,1659,42
vlas,Nc,f,inanimate,4,7951,31,4.8064516129,5,0.533965979266,3,5,31,3.51612903226,3,1.04328784702,2,5,30,4.9,5,0.395811402901,3,5,29,6.27586206897,6,2.33262545176,3,11,728.2894736842105,656,363.142210837032,417,2680,38
pristojba,Nc,f,inanimate,9,11862,31,3.29032258065,4,1.46339306093,1,5,31,2.32258064516,2,1.05912613931,1,5,30,2.33333333333,2,1.22020034785,1,5,28,12.6428571429,13,3.20952027695,6,19,839.2619047619048,672,625.0854794043267,439,4353,42
osnova,Nc,f,inanimate,6,154315,31,3,3,1.27000127,1,5,31,3.70967741935,4,0.990065113111,1,5,30,2.8,2,1.37598449604,1,5,29,7.65517241379,7,2.30854278666,3,14,537.2857142857143,501,168.58511430891673,376,1232,42
porta,Nc,f,inanimate,5,3092,31,4.54838709677,5,0.944891517153,1,5,31,3.09677419355,3,1.27898242591,1,5,30,4.7,5,0.690410505907,2,5,29,9.03448275862,8,2.79756986441,6,16,720.9,617,334.93250755246885,375,2083,40
ekstrem,Nc,m,inanimate,7,4325,31,2.48387096774,2,1.38822159944,1,5,31,3.12903225806,3,0.87037016537,1,5,29,3.20689655172,3,1.49434128828,1,5,29,11.1724137931,11,3.30171288375,5,18,676.8048780487804,646,204.9594129958655,414,1388,41
domoljublje,Nc,n,inanimate,11,8721,31,2.67741935484,2,1.59408375492,1,5,31,2.96774193548,3,1.23088929215,1,5,30,3.8,4,1.37598449604,1,5,29,9.10344827586,9,2.26433864267,5,15,638.9047619047619,581,181.63697505871022,356,1247,42
pandemija,Nc,f,inanimate,9,3454,31,3.1935483871,3,1.30555524805,1,5,31,1.8064516129,2,0.930464845281,1,5,29,2.27586206897,2,1.25661152816,1,5,24,13.5833333333,14,3.66192875712,5,20,823.9473684210526,716,308.15120272796287,430,1651,19
